packet_size,packet_rate,protocol,label
533,9,2,normal
1048,9,2,normal
110,61,4,icmp_flood
77,39,4,icmp_flood
752,45,1,normal
84,57,4,icmp_flood
301,50,3,normal
3758,150,1,dos
384,18,1,normal
183,2,2,normal
1204,43,3,normal
183,95,1,scan
174,88,3,scan
731,18,1,normal
3139,162,2,dos
83,8,3,normal
3732,254,3,dos
4153,212,1,dos
166,61,1,scan
170,52,1,scan
76,20,4,icmp_flood
4389,127,1,dos
117,45,3,scan
1922,199,1,dos
1869,201,3,dos
100,60,4,icmp_flood
99,15,4,icmp_flood
77,59,4,icmp_flood
100,63,1,scan
4118,213,2,dos
76,23,4,icmp_flood
171,82,3,scan
81,55,4,icmp_flood
1949,265,2,dos
4680,131,1,dos
197,42,3,scan
187,55,3,scan
89,69,1,scan
91,27,4,icmp_flood
267,20,2,normal
89,62,4,icmp_flood
585,43,2,normal
104,21,4,icmp_flood
60,5,2,normal
44,78,1,scan
3428,33,3,normal
78,82,3,scan
186,94,3,scan
4895,215,2,dos
3714,116,3,dos
2082,211,3,dos
104,63,4,icmp_flood
181,59,1,scan
78,70,4,icmp_flood
125,14,2,normal
106,71,2,scan
147,85,2,scan
973,45,2,normal
387,4,1,normal
85,40,4,icmp_flood
101,23,4,icmp_flood
3531,260,2,dos
102,68,4,icmp_flood
86,74,4,icmp_flood
114,46,4,icmp_flood
100,49,4,icmp_flood
87,50,4,icmp_flood
95,52,4,icmp_flood
91,50,4,icmp_flood
49,9,3,normal
3663,298,1,dos
87,79,4,icmp_flood
4696,141,1,dos
93,26,4,icmp_flood
164,68,2,scan
78,16,4,icmp_flood
75,51,4,icmp_flood
78,10,4,icmp_flood
193,45,2,scan
195,45,1,scan
1266,244,2,dos
95,38,4,icmp_flood
249,15,3,normal
4279,168,3,dos
670,2,2,normal
103,27,4,icmp_flood
2661,206,1,dos
96,61,4,icmp_flood
737,6,2,normal
1084,36,1,normal
1467,250,2,dos
82,43,4,icmp_flood
119,21,2,normal
1006,29,2,normal
102,33,4,icmp_flood
287,29,3,normal
4364,31,3,normal
4325,134,2,dos
186,23,2,normal
90,74,4,icmp_flood
3567,222,3,dos
492,1,3,normal
167,68,3,scan
52,96,1,scan
116,58,4,icmp_flood
52,65,2,scan
177,88,1,scan
142,51,1,scan
183,79,2,scan
253,6,3,normal
1640,168,3,dos
3004,146,2,dos
3227,280,3,dos
103,12,4,icmp_flood
75,84,2,scan
217,21,3,normal
84,55,4,icmp_flood
2282,236,1,dos
943,7,3,normal
150,84,1,scan
3278,138,2,dos
1039,14,2,normal
81,34,4,icmp_flood
104,51,4,icmp_flood
42,56,1,scan
119,43,4,icmp_flood
1520,132,3,dos
111,31,4,icmp_flood
2069,142,1,dos
120,54,3,scan
1263,111,2,dos
258,21,3,normal
112,38,4,icmp_flood
4242,256,2,dos
3543,210,1,dos
108,81,1,scan
48,18,3,normal
177,69,3,scan
90,15,4,icmp_flood
723,27,2,normal
4002,159,1,dos
4507,274,3,dos
476,42,3,normal
79,82,3,scan
4444,272,2,dos
101,66,3,scan
886,36,1,normal
2429,270,1,dos
117,76,4,icmp_flood
1191,35,2,normal
3395,152,3,dos
2285,6,3,normal
2147,5,3,normal
4800,164,2,dos
2945,22,3,normal
92,36,4,icmp_flood
2313,268,3,dos
1767,234,2,dos
1180,5,3,normal
1951,45,3,normal
116,55,4,icmp_flood
4260,38,1,normal
482,28,3,normal
84,72,4,icmp_flood
109,75,4,icmp_flood
98,17,4,icmp_flood
3518,142,1,dos
361,14,2,normal
3260,142,1,dos
1255,109,1,dos
3228,254,3,dos
3164,23,2,normal
192,25,2,normal
283,19,3,normal
81,55,4,icmp_flood
56,89,3,scan
101,64,4,icmp_flood
99,35,4,icmp_flood
80,53,1,scan
4446,188,2,dos
3213,44,1,normal
198,63,1,scan
97,75,4,icmp_flood
128,48,3,scan
106,57,4,icmp_flood
104,46,4,icmp_flood
98,41,1,scan
94,49,4,icmp_flood
112,70,4,icmp_flood
3993,275,3,dos
3145,164,3,dos
193,74,3,scan
149,96,2,scan
87,17,3,normal
99,23,4,icmp_flood
113,8,2,normal
688,11,2,normal
3962,296,2,dos
2213,43,2,normal
158,100,2,scan
102,84,2,scan
143,69,1,scan
94,29,4,icmp_flood
2936,246,3,dos
1454,234,2,dos
638,47,1,normal
114,68,4,icmp_flood
152,67,2,scan
4692,149,3,dos
3726,286,2,dos
90,64,3,scan
79,76,3,scan
119,60,4,icmp_flood
96,95,3,scan
178,96,2,scan
107,100,3,scan
64,26,3,normal
95,57,4,icmp_flood
1792,128,2,dos
105,64,4,icmp_flood
105,70,3,scan
3806,107,3,dos
4241,238,3,dos
106,54,4,icmp_flood
206,13,3,normal
100,65,4,icmp_flood
80,99,3,scan
144,97,3,scan
113,38,4,icmp_flood
252,13,2,normal
122,84,3,scan
195,44,3,scan
44,65,3,scan
889,2,2,normal
90,32,4,icmp_flood
120,17,4,icmp_flood
197,95,2,scan
718,8,1,normal
153,42,1,scan
92,41,4,icmp_flood
120,26,4,icmp_flood
122,66,2,scan
56,59,1,scan
420,28,1,normal
147,14,2,normal
42,50,2,scan
50,28,3,normal
85,80,4,icmp_flood
3721,37,2,normal
58,70,1,scan
80,76,2,scan
386,42,2,normal
94,42,2,scan
64,54,3,scan
184,10,3,normal
83,79,4,icmp_flood
45,41,3,scan
195,84,3,scan
1903,198,1,dos
2892,229,2,dos
108,64,4,icmp_flood
84,79,2,scan
4563,231,3,dos
97,18,4,icmp_flood
299,13,1,normal
61,11,3,normal
3244,266,2,dos
77,40,4,icmp_flood
106,24,4,icmp_flood
118,7,3,normal
66,65,1,scan
91,80,4,icmp_flood
74,65,4,icmp_flood
79,30,4,icmp_flood
89,62,4,icmp_flood
114,34,4,icmp_flood
115,85,2,scan
118,28,4,icmp_flood
171,26,2,normal
3399,291,3,dos
2817,233,3,dos
72,45,1,scan
277,5,2,normal
62,71,3,scan
96,69,4,icmp_flood
1115,48,1,normal
52,40,1,scan
4385,210,3,dos
91,73,4,icmp_flood
900,16,1,normal
2815,156,1,dos
3062,268,3,dos
111,65,4,icmp_flood
260,6,1,normal
107,65,4,icmp_flood
94,67,4,icmp_flood
76,64,3,scan
2774,232,2,dos
172,52,2,scan
3610,154,2,dos
111,57,2,scan
2443,224,2,dos
4888,205,3,dos
2675,210,1,dos
164,4,3,normal
4907,53,2,normal
79,51,4,icmp_flood
4556,116,2,dos
89,92,3,scan
42,61,2,scan
3907,260,1,dos
65,64,2,scan
78,84,2,scan
102,54,4,icmp_flood
1006,24,1,normal
2988,114,1,dos
3656,195,3,dos
415,12,3,normal
107,35,4,icmp_flood
116,24,4,icmp_flood
1287,114,1,dos
115,35,4,icmp_flood
3713,205,1,dos
4621,211,3,dos
117,63,4,icmp_flood
99,14,4,icmp_flood
4628,278,3,dos
81,76,4,icmp_flood
180,48,2,scan
182,45,3,scan
113,43,4,icmp_flood
48,95,1,scan
1226,224,3,dos
1692,171,3,dos
4840,234,2,dos
45,82,1,scan
272,4,1,normal
4990,190,3,dos
192,82,3,scan
4787,109,3,dos
4926,39,2,normal
3916,113,2,dos
525,44,3,normal
111,47,4,icmp_flood
103,52,3,scan
101,65,4,icmp_flood
1005,1,1,normal
2811,176,3,dos
3737,4,2,normal
166,51,3,scan
1783,45,1,normal
2921,165,3,dos
234,15,2,normal
148,75,3,scan
1613,228,1,dos
86,67,4,icmp_flood
79,70,4,icmp_flood
2033,226,1,dos
107,27,4,icmp_flood
90,27,3,normal
85,41,4,icmp_flood
90,2,2,normal
3900,164,3,dos
2833,134,3,dos
2947,264,1,dos
199,19,1,normal
134,89,2,scan
113,52,4,icmp_flood
338,39,1,normal
120,17,4,icmp_flood
45,76,2,scan
99,87,3,scan
79,17,4,icmp_flood
192,62,3,scan
726,44,3,normal
140,67,1,scan
131,87,3,scan
1834,119,1,dos
3380,217,3,dos
136,99,1,scan
1691,271,1,dos
62,13,2,normal
710,39,2,normal
245,2,2,normal
110,10,4,icmp_flood
1101,10,2,normal
3615,109,1,dos
78,21,4,icmp_flood
219,20,2,normal
90,27,3,normal
868,33,2,normal
266,10,3,normal
98,76,3,scan
192,69,3,scan
4855,198,2,dos
111,16,2,normal
76,13,4,icmp_flood
104,47,4,icmp_flood
2714,38,3,normal
1403,26,3,normal
114,57,1,scan
77,33,4,icmp_flood
93,39,4,icmp_flood
77,80,4,icmp_flood
670,2,2,normal
1604,184,3,dos
94,66,4,icmp_flood
410,32,3,normal
2093,170,1,dos
122,9,2,normal
119,48,4,icmp_flood
86,64,1,scan
742,48,2,normal
65,48,1,scan
88,61,4,icmp_flood
4014,143,1,dos
2947,128,3,dos
84,100,1,scan
51,58,1,scan
81,61,4,icmp_flood
2116,136,2,dos
2132,162,3,dos
383,31,1,normal
157,42,2,scan
149,67,2,scan
2163,28,3,normal
140,98,1,scan
108,12,4,icmp_flood
88,65,4,icmp_flood
1938,50,1,normal
98,72,4,icmp_flood
87,51,3,scan
162,53,2,scan
174,93,2,scan
151,99,1,scan
3359,155,1,dos
2597,170,3,dos
4933,158,3,dos
3742,264,1,dos
4458,237,3,dos
3792,226,2,dos
79,32,4,icmp_flood
62,4,3,normal
83,30,4,icmp_flood
78,52,4,icmp_flood
137,76,2,scan
79,71,4,icmp_flood
3308,133,1,dos
98,18,4,icmp_flood
76,74,4,icmp_flood
114,29,4,icmp_flood
100,62,4,icmp_flood
3786,116,2,dos
1142,41,1,normal
48,23,1,normal
1488,139,3,dos
152,86,2,scan
92,57,4,icmp_flood
161,78,2,scan
345,1,1,normal
116,64,4,icmp_flood
136,75,1,scan
1194,43,2,normal
114,72,4,icmp_flood
4225,10,2,normal
3000,167,1,dos
434,19,3,normal
106,63,4,icmp_flood
137,76,1,scan
96,20,4,icmp_flood
106,91,3,scan
136,95,3,scan
84,50,4,icmp_flood
110,16,4,icmp_flood
1842,252,2,dos
836,33,1,normal
3778,54,3,normal
167,46,1,scan
3653,192,1,dos
1993,237,1,dos
4476,127,2,dos
377,41,2,normal
1356,239,1,dos
149,45,3,scan
2868,289,3,dos
104,80,4,icmp_flood
116,31,4,icmp_flood
274,24,1,normal
2745,298,2,dos
3057,261,3,dos
523,9,2,normal
47,68,2,scan
86,54,3,scan
751,3,1,normal
108,14,4,icmp_flood
838,8,3,normal
589,2,3,normal
1110,48,1,normal
4049,119,1,dos
100,42,4,icmp_flood
2936,271,3,dos
118,87,2,scan
113,66,4,icmp_flood
79,67,4,icmp_flood
146,46,2,scan
107,77,4,icmp_flood
115,4,2,normal
1657,191,3,dos
84,61,4,icmp_flood
132,91,2,scan
180,68,1,scan
121,66,1,scan
120,49,4,icmp_flood
53,24,2,normal
182,41,3,scan
87,57,4,icmp_flood
4690,139,2,dos
95,41,4,icmp_flood
3518,22,3,normal
917,13,3,normal
182,100,3,scan
3951,43,1,normal
55,29,3,normal
1593,152,3,dos
191,71,1,scan
126,66,1,scan
2821,104,3,dos
152,66,1,scan
125,92,1,scan
1475,169,3,dos
508,35,3,normal
200,21,2,normal
99,78,4,icmp_flood
89,50,3,scan
84,52,2,scan
404,36,1,normal
4469,112,3,dos
1001,25,1,normal
72,53,3,scan
87,58,4,icmp_flood
1017,5,2,normal
3675,224,1,dos
91,58,4,icmp_flood
785,32,1,normal
117,67,4,icmp_flood
3352,166,1,dos
89,17,1,normal
74,41,4,icmp_flood
78,57,4,icmp_flood
3767,219,2,dos
77,50,1,scan
193,45,2,scan
505,34,1,normal
105,21,4,icmp_flood
169,27,2,normal
2651,210,1,dos
65,55,1,scan
145,46,3,scan
98,43,4,icmp_flood
1382,174,1,dos
128,54,1,scan
3533,164,3,dos
76,52,4,icmp_flood
169,71,3,scan
80,76,4,icmp_flood
61,24,3,normal
786,45,3,normal
161,28,1,normal
182,89,2,scan
1127,12,2,normal
93,71,4,icmp_flood
101,3,3,normal
63,16,1,normal
1834,240,1,dos
1818,251,1,dos
4003,123,2,dos
857,45,1,normal
925,43,3,normal
3466,19,3,normal
2440,153,3,dos
96,38,4,icmp_flood
150,49,3,scan
1728,212,2,dos
153,21,1,normal
94,38,4,icmp_flood
1187,41,3,normal
88,63,4,icmp_flood
464,25,3,normal
243,9,1,normal
2185,159,1,dos
3245,181,1,dos
2998,268,3,dos
4004,116,2,dos
965,24,1,normal
112,41,3,scan
742,26,1,normal
963,10,2,normal
88,51,4,icmp_flood
104,61,4,icmp_flood
1191,31,3,normal
4610,13,2,normal
105,24,4,icmp_flood
144,82,3,scan
2037,218,3,dos
166,68,2,scan
1604,217,1,dos
118,50,3,scan
1450,252,1,dos
102,27,1,normal
4465,289,1,dos
101,51,4,icmp_flood
3010,252,1,dos
111,49,4,icmp_flood
3363,227,1,dos
104,25,4,icmp_flood
259,11,1,normal
2063,131,2,dos
439,48,2,normal
264,28,3,normal
188,67,1,scan
95,21,4,icmp_flood
3768,116,2,dos
586,28,1,normal
108,52,4,icmp_flood
1258,275,2,dos
4933,41,3,normal
115,80,4,icmp_flood
1831,19,3,normal
103,17,4,icmp_flood
4377,39,3,normal
106,91,2,scan
188,65,1,scan
1004,42,1,normal
238,22,2,normal
2515,219,1,dos
637,41,1,normal
4845,140,3,dos
112,93,3,scan
212,14,2,normal
1743,175,1,dos
3601,151,3,dos
103,28,4,icmp_flood
74,61,2,scan
75,54,4,icmp_flood
3459,290,2,dos
4076,289,2,dos
104,51,1,scan
1522,194,2,dos
75,22,4,icmp_flood
199,76,3,scan
98,17,4,icmp_flood
843,31,2,normal
87,21,4,icmp_flood
719,25,1,normal
100,51,4,icmp_flood
115,44,4,icmp_flood
83,32,4,icmp_flood
3183,235,3,dos
59,97,3,scan
137,99,1,scan
4885,243,1,dos
1640,278,2,dos
92,11,4,icmp_flood
74,88,2,scan
2187,213,3,dos
292,29,1,normal
122,99,2,scan
4323,206,1,dos
2128,268,2,dos
80,73,2,scan
80,39,4,icmp_flood
641,9,3,normal
76,79,1,scan
197,88,1,scan
206,28,2,normal
4189,286,3,dos
112,64,4,icmp_flood
1189,17,3,normal
57,79,2,scan
157,83,1,scan
109,56,4,icmp_flood
2484,143,2,dos
118,10,4,icmp_flood
113,53,4,icmp_flood
929,39,1,normal
98,76,4,icmp_flood
86,49,2,scan
3863,111,3,dos
111,37,4,icmp_flood
4865,209,2,dos
1312,282,3,dos
1220,276,1,dos
4893,195,3,dos
51,62,1,scan
92,51,4,icmp_flood
216,16,2,normal
2978,266,2,dos
87,56,4,icmp_flood
81,49,3,scan
243,16,3,normal
104,16,4,icmp_flood
95,68,3,scan
2714,125,1,dos
81,76,3,scan
4183,208,1,dos
4339,201,1,dos
4325,213,3,dos
89,24,4,icmp_flood
152,1,3,normal
2684,129,1,dos
3649,269,2,dos
235,15,2,normal
87,72,4,icmp_flood
419,11,1,normal
96,20,4,icmp_flood
120,55,3,scan
97,35,4,icmp_flood
74,70,4,icmp_flood
98,79,1,scan
70,54,3,scan
2459,120,1,dos
114,78,4,icmp_flood
116,57,4,icmp_flood
128,83,2,scan
537,35,3,normal
4953,230,1,dos
272,22,3,normal
4230,158,2,dos
82,39,4,icmp_flood
4399,160,3,dos
76,86,3,scan
2851,181,3,dos
2580,53,1,normal
94,39,4,icmp_flood
238,30,3,normal
196,71,1,scan
98,61,4,icmp_flood
4436,223,1,dos
70,75,1,scan
82,10,4,icmp_flood
1831,275,3,dos
111,53,4,icmp_flood
97,76,1,scan
820,15,1,normal
43,49,2,scan
2195,119,1,dos
127,74,1,scan
66,45,1,scan
43,44,3,scan
4260,176,3,dos
111,13,4,icmp_flood
198,94,3,scan
74,35,4,icmp_flood
92,13,4,icmp_flood
2013,292,1,dos
1866,219,3,dos
788,25,1,normal
112,60,4,icmp_flood
153,54,1,scan
1194,1,3,normal
2955,131,1,dos
550,11,2,normal
108,70,1,scan
2643,163,2,dos
98,27,4,icmp_flood
74,92,1,scan
3684,232,3,dos
143,5,3,normal
4377,137,2,dos
75,16,4,icmp_flood
69,59,2,scan
150,86,3,scan
157,17,3,normal
60,53,3,scan
134,82,1,scan
723,16,3,normal
439,1,2,normal
570,47,2,normal
2790,218,3,dos
2796,233,2,dos
115,35,4,icmp_flood
118,35,4,icmp_flood
956,25,1,normal
114,54,1,scan
45,91,1,scan
199,70,3,scan
226,13,1,normal
990,30,3,normal
4924,213,1,dos
769,41,3,normal
1135,12,1,normal
106,43,4,icmp_flood
548,31,2,normal
4807,128,3,dos
2959,39,3,normal
4958,202,1,dos
146,56,2,scan
291,4,2,normal
97,43,4,icmp_flood
876,7,1,normal
3111,215,3,dos
195,49,1,scan
131,10,1,normal
107,42,4,icmp_flood
805,16,1,normal
108,56,1,scan
185,42,1,scan
235,21,3,normal
93,66,4,icmp_flood
4933,166,2,dos
265,3,2,normal
67,92,3,scan
105,10,4,icmp_flood
208,10,1,normal
83,40,4,icmp_flood
3772,225,3,dos
104,97,2,scan
1802,285,3,dos
99,49,4,icmp_flood
175,71,3,scan
4907,297,2,dos
110,90,2,scan
107,41,4,icmp_flood
41,6,3,normal
175,50,3,scan
123,48,3,scan
2672,298,2,dos
72,29,2,normal
90,8,3,normal
156,91,2,scan
192,58,2,scan
52,59,3,scan
3017,161,1,dos
74,48,4,icmp_flood
71,42,2,scan
150,50,2,scan
659,15,3,normal
98,58,4,icmp_flood
155,11,2,normal
321,4,2,normal
90,62,4,icmp_flood
619,34,2,normal
63,45,1,scan
456,20,3,normal
193,83,1,scan
198,22,3,normal
109,19,4,icmp_flood
2557,45,1,normal
4876,277,2,dos
148,65,2,scan
176,2,3,normal
77,17,4,icmp_flood
102,70,4,icmp_flood
1090,11,2,normal
48,41,2,scan
110,33,4,icmp_flood
2831,172,3,dos
4235,278,2,dos
91,79,4,icmp_flood
78,62,2,scan
442,41,2,normal
1059,25,1,normal
2032,172,3,dos
2563,241,1,dos
66,59,2,scan
99,4,1,normal
103,79,4,icmp_flood
100,78,4,icmp_flood
2057,47,1,normal
177,40,3,scan
261,14,2,normal
4400,115,3,dos
4123,213,3,dos
86,55,4,icmp_flood
108,37,4,icmp_flood
136,100,3,scan
77,58,4,icmp_flood
167,22,1,normal
2936,47,2,normal
1806,233,2,dos
3378,140,3,dos
105,42,4,icmp_flood
845,18,3,normal
149,56,1,scan
2735,117,1,dos
804,12,3,normal
4809,173,1,dos
100,64,4,icmp_flood
109,65,2,scan
175,71,1,scan
174,70,1,scan
639,3,1,normal
50,59,2,scan
1164,28,3,normal
108,63,2,scan
1351,32,2,normal
2597,112,3,dos
66,68,2,scan
70,96,1,scan
87,43,2,scan
3836,172,2,dos
4686,46,2,normal
94,95,2,scan
105,53,2,scan
2325,286,3,dos
1772,266,2,dos
674,26,1,normal
1995,222,3,dos
1188,47,3,normal
4333,105,2,dos
531,50,3,normal
167,65,2,scan
99,71,3,scan
59,61,1,scan
107,65,3,scan
831,44,2,normal
44,93,2,scan
82,88,3,scan
148,94,1,scan
105,93,2,scan
4669,47,1,normal
44,100,1,scan
93,53,4,icmp_flood
1844,161,3,dos
91,80,4,icmp_flood
107,57,4,icmp_flood
2760,295,3,dos
79,8,2,normal
96,17,4,icmp_flood
67,69,3,scan
65,22,3,normal
2397,205,1,dos
84,13,4,icmp_flood
2997,157,1,dos
85,11,4,icmp_flood
94,22,4,icmp_flood
81,25,4,icmp_flood
120,70,3,scan
2188,232,3,dos
88,70,1,scan
1228,10,3,normal
80,100,1,scan
86,15,4,icmp_flood
75,50,1,scan
683,32,3,normal
111,44,1,scan
591,42,3,normal
74,58,4,icmp_flood
2120,104,3,dos
77,63,4,icmp_flood
186,97,1,scan
3304,23,1,normal
100,64,4,icmp_flood
159,92,3,scan
591,42,3,normal
1565,118,1,dos
100,59,4,icmp_flood
4398,144,2,dos
1903,52,3,normal
4292,234,1,dos
113,15,4,icmp_flood
2901,105,1,dos
4503,117,1,dos
2131,161,1,dos
50,93,2,scan
153,13,1,normal
176,43,2,scan
3526,292,1,dos
2229,281,3,dos
569,15,2,normal
3207,171,2,dos
92,46,4,icmp_flood
187,86,2,scan
89,22,2,normal
98,19,4,icmp_flood
139,83,1,scan
4713,288,3,dos
4295,110,1,dos
105,38,4,icmp_flood
250,20,1,normal
137,61,1,scan
3808,173,3,dos
105,71,4,icmp_flood
207,11,2,normal
2117,112,1,dos
77,57,4,icmp_flood
3623,176,2,dos
117,64,4,icmp_flood
62,81,3,scan
1169,39,1,normal
124,20,2,normal
43,44,2,scan
93,22,3,normal
52,97,2,scan
437,33,3,normal
766,10,3,normal
4232,249,3,dos
44,56,1,scan
100,64,4,icmp_flood
147,41,1,scan
892,5,1,normal
46,89,3,scan
95,26,1,normal
840,1,2,normal
94,29,4,icmp_flood
2884,200,2,dos
1970,122,2,dos
4401,40,3,normal
89,51,1,scan
705,48,1,normal
166,5,1,normal
3593,286,2,dos
150,71,2,scan
113,62,4,icmp_flood
106,100,1,scan
2061,123,3,dos
3791,290,1,dos
189,69,3,scan
429,18,1,normal
111,73,4,icmp_flood
2984,203,2,dos
109,27,4,icmp_flood
2958,151,3,dos
114,56,4,icmp_flood
80,45,2,scan
4609,153,3,dos
4896,4,1,normal
72,30,2,normal
794,46,2,normal
1046,33,1,normal
2086,123,3,dos
141,48,3,scan
123,51,1,scan
119,42,4,icmp_flood
157,13,3,normal
158,47,2,scan
1450,259,2,dos
4244,124,3,dos
86,35,4,icmp_flood
94,28,4,icmp_flood
3956,177,1,dos
78,43,4,icmp_flood
1227,33,1,normal
108,55,1,scan
177,96,2,scan
3332,117,1,dos
90,10,4,icmp_flood
4431,164,3,dos
1547,270,2,dos
190,27,3,normal
3399,39,3,normal
98,9,3,normal
110,13,4,icmp_flood
2401,43,3,normal
43,19,3,normal
105,37,4,icmp_flood
168,2,3,normal
75,59,4,icmp_flood
114,42,4,icmp_flood
2422,22,1,normal
1417,279,1,dos
4599,185,2,dos
106,20,4,icmp_flood
106,29,4,icmp_flood
648,8,2,normal
107,55,4,icmp_flood
2504,142,1,dos
4795,27,2,normal
44,29,3,normal
124,75,2,scan
341,14,2,normal
2609,264,1,dos
162,95,1,scan
105,36,4,icmp_flood
76,55,4,icmp_flood
4950,221,2,dos
107,40,4,icmp_flood
162,97,2,scan
94,92,1,scan
54,3,1,normal
1358,224,1,dos
904,31,3,normal
1082,33,2,normal
4749,126,3,dos
103,78,4,icmp_flood
1766,33,2,normal
107,39,4,icmp_flood
3406,13,1,normal
113,15,4,icmp_flood
141,71,1,scan
111,66,2,scan
3466,283,1,dos
1716,41,3,normal
78,34,4,icmp_flood
4407,300,3,dos
1464,143,1,dos
43,73,1,scan
138,78,3,scan
3857,186,2,dos
3122,186,1,dos
281,5,3,normal
252,11,3,normal
262,21,2,normal
79,52,4,icmp_flood
112,46,4,icmp_flood
3642,291,2,dos
172,64,1,scan
144,90,2,scan
155,51,3,scan
2932,142,3,dos
100,73,4,icmp_flood
146,27,3,normal
159,30,2,normal
83,77,4,icmp_flood
177,24,1,normal
2981,297,3,dos
120,47,2,scan
116,68,3,scan
112,40,2,scan
117,89,3,scan
3990,250,2,dos
134,88,1,scan
166,8,1,normal
4367,183,2,dos
88,68,4,icmp_flood
3118,264,3,dos
82,10,4,icmp_flood
87,51,4,icmp_flood
76,46,4,icmp_flood
4404,211,1,dos
70,71,1,scan
82,77,4,icmp_flood
81,79,4,icmp_flood
114,30,4,icmp_flood
2216,196,2,dos
139,67,2,scan
191,96,3,scan
156,56,2,scan
114,79,4,icmp_flood
99,23,4,icmp_flood
4620,295,1,dos
4420,263,2,dos
95,41,4,icmp_flood
77,46,4,icmp_flood
3917,224,2,dos
882,26,1,normal
51,63,2,scan
113,92,2,scan
3889,186,1,dos
84,76,4,icmp_flood
3260,212,2,dos
98,33,4,icmp_flood
151,57,1,scan
83,73,4,icmp_flood
4058,238,3,dos
804,8,3,normal
161,78,1,scan
3447,263,1,dos
96,77,4,icmp_flood
2256,245,2,dos
79,21,2,normal
197,53,3,scan
120,75,4,icmp_flood
93,52,4,icmp_flood
92,80,4,icmp_flood
120,76,4,icmp_flood
101,30,4,icmp_flood
117,17,4,icmp_flood
79,66,1,scan
88,78,4,icmp_flood
89,37,4,icmp_flood
115,3,1,normal
645,27,3,normal
87,89,2,scan
78,41,1,scan
51,100,3,scan
102,75,4,icmp_flood
541,24,1,normal
91,69,4,icmp_flood
99,71,4,icmp_flood
53,11,3,normal
97,78,2,scan
4831,194,1,dos
4728,276,3,dos
49,91,3,scan
44,16,3,normal
2389,253,2,dos
110,88,1,scan
291,12,2,normal
116,65,4,icmp_flood
566,10,1,normal
194,41,3,scan
2500,114,1,dos
3120,222,1,dos
2436,178,3,dos
92,43,4,icmp_flood
244,19,1,normal
3952,169,3,dos
87,49,4,icmp_flood
70,85,2,scan
2894,138,1,dos
125,88,3,scan
181,40,3,scan
90,87,1,scan
116,71,4,icmp_flood
4175,195,2,dos
106,61,3,scan
91,62,4,icmp_flood
86,62,4,icmp_flood
61,51,1,scan
109,16,3,normal
3841,198,2,dos
111,39,4,icmp_flood
78,65,2,scan
614,27,2,normal
94,68,4,icmp_flood
1653,112,2,dos
78,79,4,icmp_flood
110,16,4,icmp_flood
345,27,3,normal
494,32,3,normal
1762,212,1,dos
117,45,4,icmp_flood
166,24,3,normal
168,93,1,scan
4615,210,1,dos
89,42,4,icmp_flood
84,41,4,icmp_flood
1541,286,3,dos
200,92,2,scan
286,23,1,normal
4557,272,3,dos
735,40,1,normal
107,28,4,icmp_flood
77,62,4,icmp_flood
3963,124,2,dos
3814,108,1,dos
101,38,4,icmp_flood
1591,163,2,dos
107,93,3,scan
3068,145,1,dos
4341,170,1,dos
202,21,1,normal
115,71,4,icmp_flood
85,54,4,icmp_flood
86,1,2,normal
290,6,3,normal
3499,188,1,dos
2409,276,2,dos
103,53,4,icmp_flood
297,1,3,normal
1102,36,2,normal
266,8,2,normal
95,39,4,icmp_flood
196,16,3,normal
4633,213,3,dos
112,70,4,icmp_flood
4761,135,3,dos
74,47,4,icmp_flood
471,35,2,normal
95,74,4,icmp_flood
2303,158,2,dos
196,97,2,scan
228,27,2,normal
2672,197,1,dos
3170,149,1,dos
97,92,3,scan
94,46,1,scan
187,90,1,scan
58,71,1,scan
172,71,3,scan
108,96,1,scan
84,44,4,icmp_flood
3184,9,1,normal
115,72,4,icmp_flood
1078,5,3,normal
179,65,2,scan
86,56,2,scan
943,46,3,normal
1699,50,3,normal
79,28,2,normal
4311,245,3,dos
1009,9,2,normal
61,97,2,scan
1149,13,1,normal
4516,261,1,dos
87,88,2,scan
141,59,2,scan
1892,193,2,dos
107,24,3,normal
98,66,4,icmp_flood
54,14,3,normal
113,39,4,icmp_flood
111,22,4,icmp_flood
56,66,2,scan
165,73,1,scan
103,43,2,scan
65,18,1,normal
1923,27,2,normal
45,68,2,scan
796,46,2,normal
45,79,1,scan
1775,202,1,dos
112,37,4,icmp_flood
77,77,4,icmp_flood
111,16,4,icmp_flood
4730,121,1,dos
116,58,4,icmp_flood
3850,236,3,dos
170,75,1,scan
138,76,3,scan
108,46,4,icmp_flood
1077,34,2,normal
217,15,3,normal
97,65,4,icmp_flood
1020,41,1,normal
86,10,4,icmp_flood
523,30,2,normal
63,10,2,normal
1240,181,2,dos
1863,211,3,dos
146,43,2,scan
231,8,2,normal
1776,296,3,dos
2793,221,3,dos
83,35,4,icmp_flood
251,9,1,normal
355,45,3,normal
765,24,3,normal
181,86,3,scan
3099,50,1,normal
181,81,1,scan
81,39,4,icmp_flood
1492,117,2,dos
103,63,4,icmp_flood
200,49,1,scan
54,9,2,normal
2802,220,1,dos
173,89,2,scan
113,30,4,icmp_flood
266,25,2,normal
3194,185,1,dos
98,70,3,scan
2724,244,2,dos
260,26,2,normal
79,22,4,icmp_flood
2894,22,2,normal
94,15,4,icmp_flood
2112,298,2,dos
113,79,4,icmp_flood
66,49,2,scan
196,90,2,scan
